"id","e1a","e1c","e1f","e1g","f5a","f5b","f5c","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","h1a","h1b","h1c","near_03f","cityRate","numBehaviors"
243,2,4,4,2,4,3,4,4,4,4,4,4,3,4,1,1,1,1,1,0,0,0,0,1,2085.78966905,2.60625,2
245,2,5,5,1,3,3,2,4,4,5,4,4,4,4,1,1,1,0,1,1,1,0,0,1,2451.69820639,2.60625,3
247,5,1,4,2,4.28807877412954,2.60260009997199,3.5099584691869,4,4,4,3,2,2,3,1,1,1,1,1,1,1,0,0,1,2415.25347791,2.60625,4
249,5,1,4,4,3,3,2,4,4,4,4,4,3,3,1,1,1,1,0,0,0,0,0,1,2009.08614979,2.60625,1
251,1,4,4,2,5,5,3,4,4,4,4,4,4,3,1,1,1,1,1,1,0,0,0,1,2427.35709886,2.60625,3
252,4,2,5,1,4,4,5,4,4,4,4,4,3,4,1,1,1,1,1,0,1,0,0,1,543.358970776,2.60625,3
254,2,4,4,2,5,5,4,4,4,4,4,3,3,3,1,0,1,1,1,0,0,0,1,1,252.698526925,2.60625,2
260,5,5,5,1,3,2,2,4,4,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,1288.97400944,2.60625,4
262,1,5,5,2,2,2,3,5,5,4,4,4,4,4,1,0,1,1,0,0,0,0,0,0,1288.97400944,2.60625,1
269,5,2,2,4,3,2,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,0,71.179628183,2.34883720930233,4
272,4,2,4,2,5,5,4,4,3,5,4,4,4,4,1,1,1,1,1,1,1,0,1,1,17.5950153573,2.34883720930233,4
273,2,4,4,2,4,3,2,5,5,4,3,3,3,4,1,1,1,1,0,0,1,0,1,1,0,2.34883720930233,2
276,5,2.91795604188794,5,1.72578517837904,4,3,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,433.605494382,2.34883720930233,4
277,2,5,5,2,3,3,2,4,4,5,4,4,4,5,1,1,1,1,1,1,1,0,1,1,71.383272821,2.34883720930233,4
279,2,4,4,2,3,3,3,4,4,4,4,4,3,4,1,1,0,1,0,0,0,0,0,1,95.1445781635,2.34883720930233,1
280,5,4,5,1,2,2,3,5,5,5,5,5,5,3,1,1,1,1,1,1,1,0,1,1,0,2.34883720930233,4
287,1,4,5,4,1,4,2,4,4,4,4,2,3,4,1,0,1,1,0,1,0,0,0,0,199.086548743,2.34883720930233,2
292,2,4,4,2,4,2,4,4,4,4,4,3,4,4,1,1,1,1,1,1,1,0,1,1,0,2.60625,4
295,2,4,4,2,4,4,4,5,5,5,5,5,5,5,1,1,1,1,0,1,1,0,1,1,29.7582964422,2.60625,3
297,1.83285478132228,4.92167309914427,4.58010825879915,1.64077249188948,4.07436509015103,3.12361570362896,4.00657045182088,4.7622373641119,4.80908360459031,4.61546549767191,4.61481170645949,4.7006480663969,4.48941845158729,4.63715232236595,1,1,1,1,1,1,1,0,0,1,99.7037171933,2.60625,4
298,1,5,5,1,4,1,2,5,4,5,4,3,5,5,1,1,1,0,0,1,1,0,0,1,13.4212614015,2.60625,2
299,2,4,4,2,5,3,4,4,4,5,4,4,4,5,1,1,1,1,1,1,1,0,0,1,104.53861754,2.60625,4
301,2,5,5,1,3,2,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,357.851598665,2.60625,4
302,2,5,5,1,3,3,4,4,4,5,4,3,4,4,1,1,1,1,1,1,1,0,1,1,0,2.60625,4
303,4,2,5,2,5,4,3,4,4,5,4,3,4,3,1,1,1,1,0,0,0,0,1,1,678.636477144,2.60625,1
304,1,5,5,2,5,3,5,5,5,5,5,3,4,4,1,1,1,1,0,0,0,0,0,1,869.774449007,2.60625,1
305,4,3,4,3,4,3,3,4,2,2,4,3,3,2,1,1,1,1,0,0,0,0,0,1,179.924081934,2.60625,1
307,1,5,5,1,5,4,2,5,4,5,5,4,4,5,1,0,1,1,0,1,1,0,1,1,0,2.60625,3
308,2,3,3,4,4,2,2,5,5,5,5,3,2,5,1,1,1,1,0,0,1,0,0,1,25.7708785043,2.60625,2
318,4,2,4,2,4,2,3,3,4,5,4,2,4,4,1,1,1,0,0,0,0,0,0,1,1480.04359475,2.60625,0
321,1,2,4,1,5,5,4,5,5,5,5,4,5,5,1,1,1,0,1,1,1,0,0,1,478.846632377,2.60625,3
327,1,5,5,1,5,5,4,5,5,5,5,3,4,5,1,1,1,1,0,0,1,0,1,1,0,2.60625,2
333,2,4,5,2,2,2,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,946.30990296,2.60625,4
337,1,5,4,2,4,3,4,4,4,4,4,4,3,4,1,1,1,1,0,1,1,0,0,1,207.777546136,2.60625,3
344,4,2,3,4,3,3,4,4,4,5,3,4,2,4,1,1,1,1,1,0,1,0,0,0,1331.77764384,2.60625,3
347,2,3,4,3,4,4,4,4,4,3,4,3,2,4,1,0,0,1,1,0,1,0,0,1,2510.28147547,2.60625,3
349,1,1,4,1,4,2,4,4,4,5,4,3.37835271884969,4,4,1,1,0,1,0,1,0,0,0,1,1236.87083545,2.60625,2
350,1,5,4,2,5,3,3,4,5,5,4,4,4,5,1,1,1,1,0,0,0,0,0,1,1915.08489017,2.60625,1
355,5,1,5,1,3,3,3,4,4,5,4,3,2,3,1,1,1,1,0,0,0,0,0,1,1099.50098481,2.60625,1
365,2,4,4,3,5,5,3,5,5,5,5,5,5,5,1,1,0,1,1,0,0,0,0,1,371.756840386,2.34883720930233,2
379,5,3,4,3,2,1,2,4,4,3,4,4,3,3,1,1,1,1,1,1,1,0,0,1,22.6584584459,2.34883720930233,4
387,3,4,4,3,2,2,1,4,4,4,4,2,4,4,1,1,1,0,0,0,1,0,0,0,575.423843407,2.34883720930233,1
395,1,5,5,1,4,3,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,141.491541766,2.60625,4
402,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0.0584369261215733,0.556701532917605,0.993584990849429,895.560807008,2.60625,4
411,4,2,4,3,2,2,1,4,4,5,4,4,4,4,1,1,1,0,1,0,1,0,0,0,1422.70702339,2.60625,2
412,2,4,4,2,3,3,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,567.389211377,2.60625,4
417,4,1,4,4,4,3,4,4,4,4,2,1,1,1,1,1,1,0,0,1,0,0,0,1,252.328068375,2.60625,1
419,2,4,5,1,5,3,4,4,5,5,4,4,2,4,1,1,1,1,0,0,0,1,1,0,1048.94401311,2.60625,1
425,4,3,5,3,3.84650904226699,3.28997252126648,3.61313934826687,4,5,3,3,3,4,3,1,1,1,1,1,1,1,0,0,1,963.388144644,2.60625,4
429,2,4,5,2,3,3,2,4,4,5,4,3,3,4,1,1,1,1,0,0,1,0,0,0,948.601736627,2.60625,2
430,2,4,5,1,4.0563582501654,3.20619363156568,3.85406239721885,4,4,5,5,2,4,2,1,1,1,1,1,1,1,0,0,1,883.76488711,2.60625,4
435,2,4,4,3,5,4,4,4,4,5,4,4,4,4,1,1,1,1,0,0,0,0,0,1,2129.50569376,2.60625,1
437,4,4,4,2,3.35374250627683,3,3,4,2,5,5,4,4,5,0,1,1,1,1,1,1,0,1,1,2112.59121112,2.60625,4
442,2,5,4,2,4,2,4,4,4,5,5,4,3,4,1,1,1,1,1,1,1,0,0,1,1658.77190716,2.60625,4
443,4,2,4,2,4,4,5,4,4,5,5,3,4,4,1,1,1,0,0,0,1,0,0,1,2230.78545699,2.60625,1
445,2,4,4,2,4,3,3,4,4,4,4,4,3,4,1,0,0,1,0,0,1,0,0,0,333.506406198,2.60625,2
449,4,4,4,2,3,1,3,4,4,4,4,4,4,4,1,1,1,0,1,0,0,0,0,1,914.46069688,2.60625,1
459,4,2,5,2,3,2,3,5,5,5,4,4,4,4,1,1,1,1,1,1,1,0,0,0,918.961814908,2.60625,4
460,2,4,4,2,4,3,4,4,5,5,4,4,4,4,1,1,0,1,1,1,1,0,1,0,606.816091459,2.34883720930233,4
462,2,4,4,2,4,2,2,4,4,5,4,3,3,4,1,1,1,1,1,0,1,0,0,1,28.2381800116,2.34883720930233,3
464,4,3,3,3,4,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,1,252.099458614,2.34883720930233,1
470,1,5,4,2,3,3,2,2,4,5,4,3,2,2,1,1,1,1,0,0,0,0,1,1,0,2.34883720930233,1
471,1,5,5,1,5,5,5,5,5,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,2.34883720930233,0
473,2,4,4,2,5,3,5,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,1,1,0,2.34883720930233,0
478,3,5,5,1,2,1,2,5,3,5,3,3,3,5,1,1,1,1,1,1,1,0,0,1,199.086548743,2.34883720930233,4
488,1,5,5,1,3.70267139873829,3.11810308054833,3.27937616901369,4,4,4,4,4,4,5,1,1,1,1,1,1,1,0,1,1,32.5000998437,2.60625,4
