"id","c1a","c1b","c1c","c1d","c1e","c1f","c1g","c1h","c1i","c1j","c1k","c1l","c1m","c1n","c1o","c1p","c1q","c1r","d1a","d1b","d1c","d1d","d1e","d1f","d1g","e1a","e1b","e1c","e1d","e1e","e1f","e1g","e1h","e1i","e1j","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","f5a","f5b","f5c","f5d","h1a","h1b","h1c","h1d","h1e","h1f","h1g","h1h","h1i","h1j","h1k","h1l","h1m","h1n","h1o","h1p","education","near_03f","city","numBehaviors","cityRate"
92,4,4,5,5,1,1,2,2,1,4,4,3,2,2,2,4,2,4,4,4,2,4,2,2,4,2,3,5,2,4,5,1,5,4,3,5,4,4,4,4,3,4,1,1,0,1,0,0,1,3,3,3,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,3,199.086548743,"El Cajon",2,2.34883720930233
93,4,4,2,2,4,4,4,4,4,3,3,3,4,4,3,4,2,2,4,4,2,2,2,2,4,2,2,4,2,4,4,2,4,4,4,4,4,5,4,3,3,4,1,1,1,1,1,0,0,2,2,2,4,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,6,498.725033197,"El Cajon",2,2.34883720930233
97,4,4,4,3.95864887332652,3,4,2,3,2,4,4,4,2,3,4,2,4,4,4,3,2,4,2,2,4,2,3,4,2,4,4,2,4,4,4,5,5,5,5,4,4,4,1,1,1,1,1,1,1,2,1,1,4,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,6,634.884008026,"El Cajon",4,2.34883720930233
101,3,2,4,2.28451075212976,2,3,3,2,2,4,4,2,3,3,2,4,2,4,4,4,2,4,2,2,4,2,4,4,2,3,4,2,5,4,4,4,4,4,4,3,3,4,1,0,1,1,0,0,0,5,4,5,2,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,2,43.0300329647,"Alpine",1,2.60625
104,4,4,4,4,2,2,2,3,2,4,4,3,4,3,2,4,2,2,4,4,2,3,2,2,4,2,1,4,2,5,3,3,4,2,4,5,5,5,5,5,5,5,1,0,1,1,0,1,1,5,4,4,3,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,2,47.325622055,"Alpine",3,2.60625
105,5,5,5,5,1,1,1,1,1,4,4,2,2,4,2,4,2,4,4,2,2,3,2,4,4,2,2,4,2,4,4,2,4,2,4,2,4,5,2,2,2,4,0,1,1,0,0,0,0,2,2,3,2,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,4,523.306762635,"Alpine",0,2.60625
109,4,4,4,4,2,1,4,2,2,2,2,2,2,2,3,3,3,3,4,5,2,3,2,2,3,1,3,3,3,3,4,5,2,3,4,5,5,5,5,5,5,5,1,1,0,1,1,0,1,2,2,2,2,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,4,195.215110247,"Alpine",3,2.60625
124,5,5,5,2,1,1,2,1,1,5,5,4,3,2,1,5,1,1,4,4,2,4,2,2,4,4,4,2,2,2,4,2,4,2,2,2,3,4,4,3,2,2,0,0,1,1,1,1,0,5,2,4,4,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,6,145.808062165,"Alpine",3,2.60625
128,5,5,5,5,1,1,1,1,1,5,5,1,1,2,2,3,2,4,2,2,4,2,4,4,2,2,2,4,2,5,5,2,4,2,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,4,3,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,2,757.138596141,"Alpine",4,2.60625
133,4.16835969528704,4.37955838062667,3.87997576417471,3.83181973669277,2.89758977713366,3.73004594722989,3.22709262137132,3.19362510072353,3.08924739951769,2.86940506695896,3.1712556244476,2.59886843672926,2.48789372180515,2.76668759836072,2.93180139331704,2.6024172891933,3.43758720898432,3.5480998415113,4,4,2,3,2,5,5,1,1,2,4,4,2,4,2,4,4,5,5,5,5,5,5,1,1,0,0,0,0,1,0,5,4,4,3,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,220.939096264,"Alpine",1,2.60625
147,4,4,4,4,2,3,4,4,2,2,3,2,3,3,2,4,2,3,3,3,3,4,3,2,3,2,1,4,2,5,3,4,5,5,3,2,2,4,4,4,4,4,1,1,1,0,0,1,0,4,4,4,3,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,4,1687.98939779,"Alpine",1,2.60625
